Material,Tc,Correct,Pathf
MgB 2,39K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/11/115003/sust_29_11_115003.pdf
MgB 2,40 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/APL/v112/i2/022601_1/vor_1.5013286.pdf
MgB 2,40 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/1/014004/SUST_28_1_014004.pdf
MgB 2,40 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/2/025009/sust_29_2_025009.pdf
MgB 2,40 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/034004/sust_30_3_034004am.pdf
MgB 2,40 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/034008/sust_30_3_034008am.pdf
MgB 2,40 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/4/044006/sust_30_4_044006am.pdf
MgB 2,=39 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/98/12/10.1063_1.2142095/10.1063_1.2142095_fulltext.pdf
MgB 2,∼8.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/2/023001/sust_29_2_023001.pdf
MgB 2,=38.08 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035004/sust_29_3_035004.pdf
MgB2),39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/10/105010/sust_31_10_105010am.pdf
MgB2,37 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/4/045001/sust_30_4_045001am.pdf
MgB2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/4/043002/sust_30_4_043002am.pdf
MgB2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/10/105010/sust_31_10_105010am.pdf
MgO,16.3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/065005/sust_28_6_065005.pdf
MgO,20 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/2/025002/sust_31_2_025002am.pdf
Mo 0.90 Ru 0.1 ) 3 Sb 7,2.34 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/125001/sust_29_12_125001.pdf
Mo 3 Al 2 C,9.1 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035003/sust_29_3_035003.pdf
Mo 3 Sb 7 single crystal,=2.1 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/125001/sust_29_12_125001.pdf
Mo 3 Sb 7,08 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/125001/sust_29_12_125001.pdf
Mo 3 Sb 7,3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/125001/sust_29_12_125001.pdf
Mo 3 Sb 7,2.08 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/125001/sust_29_12_125001.pdf
Mo 3 Sb 7,2.1 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/125001/sust_29_12_125001.pdf
Mo 3 Sb 7,=2.08 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/125001/sust_29_12_125001.pdf
Mo 3 Sb 7,=2.1 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/125001/sust_29_12_125001.pdf
Mo 3 Sb 7,=2.3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/125001/sust_29_12_125001.pdf
Mo 60 Re 40 films,15 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/11/113002/sust_29_11_113002.pdf
Mo 60 Re 40,11.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/11/113002/sust_29_11_113002.pdf
Mo 75 Re 25,11.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/11/113002/sust_29_11_113002.pdf
Mo 80 Ge 20 thin films,7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125009/sust_31_12_125009.pdf
Mo 80 Ge 20,7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125009/sust_31_12_125009.pdf
MoS 2 crystal,10.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
MoS 2,10.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
MoSi films,7.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/1/015002/sust_31_1_015002.pdf
MoSi,7.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/1/015002/sust_31_1_015002.pdf
MoTe 2,2.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/9/093001/sust_29_9_093001.pdf
Na)Fe 2 As 2,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/062001/sust_28_6_062001.pdf
Na)Fe 2 As 2,35 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/062001/sust_28_6_062001.pdf
Na-intercalated 2H-TaS 2,4.4 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/065001/sust_31_6_065001.pdf
NaFe 2 As 2,11-25 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/062001/sust_28_6_062001.pdf
Nb 0.87 Si 0.09 □ 0.04 ) (N 0.87 O 0.13,17.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/5/055009/sust_28_5_055009.pdf
Nb 3 Sn films,16 to 18 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/11/113002/sust_29_11_113002.pdf
Nb 3 Sn,15-20 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/11/113002/sust_29_11_113002.pdf
Nb 3 Sn,18 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/2/025006/sust_30_2_025006.pdf
Nb 3 Sn,18 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/033004/sust_30_3_033004.pdf
Nb 3 Sn,18.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/034004/sust_30_3_034004am.pdf
Nb 3 Sn,18.3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/9/093001/sust_30_9_093001.pdf
Nb film,9.05 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/APL/v112/i15/152601_1/vor_1.5028213.pdf
Nb,2K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/034004/sust_30_3_034004am.pdf
Nb-doped SrTiO 3,0.4 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
NbSe 2,145 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
NbSe 2,3.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
NbSe 2,5.26K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
NbSe 2,7.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
NbSe2,7.3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/065006/sust_31_6_065006am.pdf
NbTi,9.3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/014007/sust_30_1_014007am.pdf
NbTi,9.4 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/2/025021/sust_30_2_025021.pdf
NdO 0.5 F 0.5 BiS 2,∼2.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115004/sust_30_11_115004.pdf
O) 0.97,7.66 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/2/023001/sust_29_2_023001.pdf
Pb 1.12 Ta(Se 1−x Br x ) 3.12 (0.08x0.16,28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
Pb 1.12 Ta(Se 1−x Br x ) 3.12,1.28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
Pb 1.12 Ta(Se 1−x Br x ) 3.12,≈1.28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
Pb 1.12,≈1.28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
Pb film,1.83 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/9/095011/sust_28_9_095011.pdf
Pb-SBA-15,7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/10/105004/sust_30_10_105004am.pdf
Pb-doped,68 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/035014/sust_30_3_035014am.pdf
Pb-doped,78 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/035014/sust_30_3_035014am.pdf
Pb-doped,84 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/035014/sust_30_3_035014am.pdf
Pb-rich PbTe,5.2-5.4 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/98/6/10.1063_1.2037209/10.1063_1.2037209_fulltext.pdf
Pb/SiO 2,6.9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/4/045003/sust_28_4_045003.pdf
Pb1212 bulk polycrystalline samples,10 to 110 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/8/085007/sust_29_8_085007.pdf
Pb1212,100 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/8/085007/sust_29_8_085007.pdf
Pb1212,50 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/8/085007/sust_29_8_085007.pdf
PbSe) 1.12,≈1.28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
PbSe) 1.16 (TiSe 2 ) 2,3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
PbSe) 1.16,2.3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
PbSe,=2.3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
PbSr 2 Ca 2 Cu 3 O 9 (Pb1223),100 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/8/085007/sust_29_8_085007.pdf
PbTe,5.2-5.4 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/98/6/10.1063_1.2037209/10.1063_1.2037209_fulltext.pdf
PbTe,7.2 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/98/6/10.1063_1.2037209/10.1063_1.2037209_fulltext.pdf
Pd 0.04 TaS 2,4.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/065001/sust_31_6_065001.pdf
Pd 1−x Ni x Te,2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/7/075008/sust_29_7_075008.pdf
Pd x TaSe 2,2.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/065001/sust_31_6_065001.pdf
Pd x TiSe 2,2.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/065001/sust_31_6_065001.pdf
PdTe,2.3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/5/055008/sust_28_5_055008.pdf
PdTe,4.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/5/055008/sust_28_5_055008.pdf
PdTe,4.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/7/075008/sust_29_7_075008.pdf
Pt 4 As 8 )(Fe 1−x Pt x ) 2 As 2,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/065010/sust_31_6_065010.pdf
R=0),9.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/2/025013/SUST_28_2_025013.pdf
RE) doped CaFe 2 As 2,49 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/085009/sust_30_8_085009.pdf
REBCO films,77 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125006/sust_31_12_125006am.pdf
REBCO,92 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/075007/sust_31_7_075007.pdf
REBa 2 Cu 3 O y (RE123),90 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/125007/sust_29_12_125007.pdf
RFeAsO,56 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/4/045018/sust_28_4_045018.pdf
RbCs 2 C 60,33 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/JAP/v123/i13/135304_1/vor_1.5016397.pdf
Re films,6 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/APL/v112/i18/182601_1/vor_1.5027104.pdf
Re-Mo,13 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/APL/v112/i18/182601_1/vor_1.5027104.pdf
SSPD,4 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/1/015019/sust_31_1_015019.pdf
STO,77 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/9/094007/sust_30_9_094007am.pdf
Se 0.4 Te 0.6 ) 0.82,14 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/11/115004/sust_28_11_115004.pdf
Si(111)-SIC-Pb,1.1 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
SiC doped,34 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/1/015002/SUST_28_1_015002.pdf
SiO 2 / Si and SiN / Si,1.4 and 1.27 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/98/1/10.1063_1.1946205/10.1063_1.1946205_fulltext.pdf
Sm-1111,54.651.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
Sm1111,9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/10/105005/sust_28_10_105005.pdf
SmBCO film,77 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/10/104004/sust_28_10_104004.pdf
SmBCO film,77 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/084009/sust_30_8_084009.pdf
SmBCO,77 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/084009/sust_30_8_084009.pdf
SmFeAs,58 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/3/034007/sust_31_3_034007.pdf
SmFeAsO films,58 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
SmFeAsO1-xFx,56 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
Sn 3 S 4 − I43d,21.9 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/JCP/v148/i19/194701_1/vor_1.5018434.pdf
Sn 3 S 4 −,21.9 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/JCP/v148/i19/194701_1/vor_1.5018434.pdf
Sn 3 S 4,21.9 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/JCP/v148/i19/194701_1/vor_1.5018434.pdf
SnS-Pm3m,9.74 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/JCP/v148/i19/194701_1/vor_1.5018434.pdf
SnSb,1.50 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125011/sust_31_12_125011am.pdf
Sr 0.4 Ca 13.6 Cu 24 O 41+δ,13 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/10/105002/sust_31_10_105002am.pdf
Sr 0.45 Na 0.55 )Fe 2 As 2,36.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/062001/sust_28_6_062001.pdf
Sr 0.5 La 0.5 FBiSe 2,10 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/4/04LT03/sust_29_4_04LT03.pdf
Sr 0.5 Na 0.5 )Fe 2 As 2,35 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/062001/sust_28_6_062001.pdf
Sr 0.5 Na 0.5 )Fe 2 As 2,35-36 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/062001/sust_28_6_062001.pdf
Sr 0.5 Na 0.5 )Fe 2 As 2,36 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/062001/sust_28_6_062001.pdf
Sr 1−x Na x ) Fe 2 As 2,36.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/10/105007/sust_28_10_105007.pdf
Sr 1−x Sm x FFeAs,56 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
Sr 2 CaCu 2 O 6,103 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/8/085001/sust_29_8_085001.pdf
Sr 2 RuO 4 thin film (,0.9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/9/095005/sust_29_9_095005.pdf
Sr 2 RuO 4 thin film,0.9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/9/095005/sust_29_9_095005.pdf
Sr 2 RuO 4 thin film,1.9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/9/095005/sust_29_9_095005.pdf
Sr 2 RuO 4,0.9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/9/095005/sust_29_9_095005.pdf
Sr 2 RuO 4,1.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/9/095005/sust_29_9_095005.pdf
Sr 2 RuO 4,1.9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/9/095005/sust_29_9_095005.pdf
Sr 2 RuO 4,3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/9/095005/sust_29_9_095005.pdf
Sr x 1-Ln x FBiS 2,10 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/4/04LT03/sust_29_4_04LT03.pdf
SrBi 3 (n=4.25,5.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
SrBi 3 (n=4.25,=5.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
SrBi 3,9.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
SrBi 3,=5.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
SrBi3,5.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/2/025015/sust_30_2_025015am.pdf
SrBi3,5.75 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/2/025015/sust_30_2_025015am.pdf
SrBi3,9.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/2/025015/sust_30_2_025015am.pdf
SrTiO 3 /LaAlO 3,200 mK,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/8/085002/sust_29_8_085002.pdf
SrTiO 3,200 mK,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/8/085002/sust_29_8_085002.pdf
SrTiO 3,450 mK,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/JAP/v124/i21/213902_1/vor_1.5049363.pdf
SrTiO 3,65 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/3/035009/sust_28_3_035009.pdf
Ta 2 PdSe 5,2.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/11/115015/sust_28_11_115015.pdf
TaOs,2.07 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/12/125003/sust_30_12_125003am.pdf
TaS 2,0.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/065001/sust_31_6_065001.pdf
TaS 2,1.32 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
TaSe 2,1.28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
TaSe 2,≈1.28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
Te doped Fe-Se based superconductor with nominal composition Fe (Se 0.4 Te 0.6 ) 0.82,14 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/11/115004/sust_28_11_115004.pdf
ThCr 2 Si 2,31 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/10/105015/sust_29_10_105015.pdf
ThPb 3 (n=4.00,=5.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
ThPb 3,=5.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
Ti 0.7 V 0.3,4.1 and 6.7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/2/025003/sust_29_2_025003.pdf
Ti 0.8 V 0.2,4.1 and 6.7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/2/025003/sust_29_2_025003.pdf
TiIrSi shows,1.4 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035011/sust_29_3_035011.pdf
TiSe 2 ) 2,=2.3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
Tl 2 Ba 2 CuO y,80 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/065010/sust_28_6_065010.pdf
TlBa 2 Ca 2 Cu 3 O 9-δ ),125 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/11/115006/sust_28_11_115006.pdf
WB 4.2,2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/11/115005/sust_31_11_115005.pdf
Y 2 O 3 5.44A%,89.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/2/024002/SUST_28_2_024002.pdf
Y 2 O 3 nanoparticles,20 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/6/065005/sust_29_6_065005.pdf
Y 2 O 3,1.5 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/98/12/10.1063_1.2148626/10.1063_1.2148626_fulltext.pdf
Y 2 PdGe 3,=3 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/97/7/10.1063_1.1871335/10.1063_1.1871335_fulltext.pdf
Y Rh Sn 5 6 18,3.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/10/105008/sust_28_10_105008.pdf
Y)BCO films,90 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/10/104003/sust_28_10_104003.pdf
Y)BCO films,90 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/7/072002/sust_28_7_072002.pdf
Y-123,77 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/5/054003/sust_29_5_054003.pdf
Y-211,92.15 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/5/054003/sust_29_5_054003.pdf
Y123,∼91.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/035006/sust_30_3_035006.pdf
YBCO bulk superconductors,92 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/9/095010/sust_28_9_095010.pdf
YBCO film,86.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/9/095011/sust_30_9_095011am.pdf
YBCO film,89.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/11/114004/sust_28_11_114004.pdf
YBCO single crystals,82 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/9/095009/sust_30_9_095009am.pdf
YBCO superconducting tapes,77 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/RSI/v89/i4/045114_1/vor_1.5026932.pdf
YBCO+BMO films,77 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/065012/sust_31_6_065012am.pdf
YBCO+BMO,77 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/065012/sust_31_6_065012am.pdf
YBCO,50 ∼91.7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/12/125010/sust_30_12_125010.pdf
YBCO,65−80 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/125009/sust_29_12_125009.pdf
